Id,Label,Type
0,meereshorizont,Lebensraum-Lemma
1,satyros,Lebensraum-Lemma
2,felsenpaß,Lebensraum-Lemma
3,waldecke,Lebensraum-Lemma
4,seewald,Lebensraum-Lemma
5,hügelerhöhung,Lebensraum-Lemma
6,schlachtenberg,Lebensraum-Lemma
7,tennisplatz,Lebensraum-Lemma
8,donau,Lebensraum-Lemma
9,terrasse,Lebensraum-Lemma
10,oberland,Lebensraum-Lemma
11,rasenwall,Lebensraum-Lemma
12,täler,Lebensraum-Lemma
13,hindergrund,Lebensraum-Lemma
14,peronn,Lebensraum-Lemma
15,blumenparterre,Lebensraum-Lemma
16,nachbargarten,Lebensraum-Lemma
17,pallast,Lebensraum-Lemma
18,waldhorn,Lebensraum-Lemma
19,erde-abhang,Lebensraum-Lemma
20,brigittenau,Lebensraum-Lemma
21,golo,Lebensraum-Lemma
22,gebirgswände,Lebensraum-Lemma
23,rosenberge,Lebensraum-Lemma
24,berg,Lebensraum-Lemma
25,plantes,Lebensraum-Lemma
26,rheinfall,Lebensraum-Lemma
27,baumgang,Lebensraum-Lemma
28,seeg,Lebensraum-Lemma
29,talöffnung,Lebensraum-Lemma
30,mediceervilla,Lebensraum-Lemma
31,grottenanlage,Lebensraum-Lemma
32,schoß,Lebensraum-Lemma
33,landstraße,Lebensraum-Lemma
34,felsjoch,Lebensraum-Lemma
35,bergvorsprunge,Lebensraum-Lemma
36,vesuvs,Lebensraum-Lemma
37,gartendunkel,Lebensraum-Lemma
38,vorgärt,Lebensraum-Lemma
39,rasenplatz,Lebensraum-Lemma
40,baumstümpf,Lebensraum-Lemma
41,geigenstrich,Lebensraum-Lemma
42,gebirg,Lebensraum-Lemma
43,hochebene,Lebensraum-Lemma
44,tales,Lebensraum-Lemma
45,flora,Lebensraum-Lemma
46,kuliße,Lebensraum-Lemma
47,lakey,Lebensraum-Lemma
48,naturfel,Lebensraum-Lemma
49,apollotempel,Lebensraum-Lemma
50,weißdornhecke,Lebensraum-Lemma
51,geklüft,Lebensraum-Lemma
52,löwengart,Lebensraum-Lemma
53,rheintöchter,Lebensraum-Lemma
54,dickicht,Lebensraum-Lemma
55,paradies,Lebensraum-Lemma
56,themi,Lebensraum-Lemma
57,ebene,Lebensraum-Lemma
58,felsgipfel,Lebensraum-Lemma
59,burggarten,Lebensraum-Lemma
60,felsenplateau,Lebensraum-Lemma
61,vorgrund,Lebensraum-Lemma
62,amazonen,Lebensraum-Lemma
63,schweinskopf,Lebensraum-Lemma
64,march,Lebensraum-Lemma
65,region,Lebensraum-Lemma
66,been,Lebensraum-Lemma
67,krater,Lebensraum-Lemma
68,zriny,Lebensraum-Lemma
69,fels,Lebensraum-Lemma
70,eisgebirg,Lebensraum-Lemma
71,kahn,Lebensraum-Lemma
72,talleyrand,Lebensraum-Lemma
73,gestatt,Lebensraum-Lemma
74,ufervorsprüng,Lebensraum-Lemma
75,felsspalte,Lebensraum-Lemma
76,blumenhügel,Lebensraum-Lemma
77,hügelabdachung,Lebensraum-Lemma
78,trudchen,Lebensraum-Lemma
79,sumpfbode,Lebensraum-Lemma
80,strand,Lebensraum-Lemma
81,joche,Lebensraum-Lemma
82,blümlein,Lebensraum-Lemma
83,felsgegend,Lebensraum-Lemma
84,gouv,Lebensraum-Lemma
85,viehstall,Lebensraum-Lemma
86,felsterras,Lebensraum-Lemma
87,vaas,Lebensraum-Lemma
88,bergwiese,Lebensraum-Lemma
89,rasend,Lebensraum-Lemma
90,seebald,Lebensraum-Lemma
91,felsengebirg,Lebensraum-Lemma
92,quelles,Lebensraum-Lemma
93,hühnerei,Lebensraum-Lemma
94,schilf,Lebensraum-Lemma
95,fluß,Lebensraum-Lemma
96,taube,Lebensraum-Lemma
97,wolkengebirg,Lebensraum-Lemma
98,oktoberfestwiese,Lebensraum-Lemma
99,harz,Lebensraum-Lemma
100,landspitze,Lebensraum-Lemma
101,merenberge,Lebensraum-Lemma
102,felskluft,Lebensraum-Lemma
103,waldszene,Lebensraum-Lemma
104,felsgrund,Lebensraum-Lemma
105,moors,Lebensraum-Lemma
106,aß,Lebensraum-Lemma
107,bergknappe,Lebensraum-Lemma
108,waldlandschaft,Lebensraum-Lemma
109,canapé,Lebensraum-Lemma
110,rotkehlchen,Lebensraum-Lemma
111,gebirges,Lebensraum-Lemma
112,bergkett,Lebensraum-Lemma
113,rasenwalle,Lebensraum-Lemma
114,blumenestrade,Lebensraum-Lemma
115,weigenand,Lebensraum-Lemma
116,salzfaß,Lebensraum-Lemma
117,pegnitz,Lebensraum-Lemma
118,gute,Lebensraum-Lemma
119,alpen,Lebensraum-Lemma
120,felsental,Lebensraum-Lemma
121,eisgebirge,Lebensraum-Lemma
122,flur,Lebensraum-Lemma
123,newa,Lebensraum-Lemma
124,weide,Lebensraum-Lemma
125,feldbett,Lebensraum-Lemma
126,wallgraben,Lebensraum-Lemma
127,waldkuppe,Lebensraum-Lemma
128,altau,Lebensraum-Lemma
129,gasthausgart,Lebensraum-Lemma
130,walde,Lebensraum-Lemma
131,rasenplan,Lebensraum-Lemma
132,hradschin,Lebensraum-Lemma
133,kieswege,Lebensraum-Lemma
134,urwald,Lebensraum-Lemma
135,becken,Lebensraum-Lemma
136,meerdrach,Lebensraum-Lemma
137,seegestade,Lebensraum-Lemma
138,felsberge,Lebensraum-Lemma
139,dreispitz,Lebensraum-Lemma
140,bergkegel,Lebensraum-Lemma
141,wald,Lebensraum-Lemma
142,gewässer,Lebensraum-Lemma
143,waldgrund,Lebensraum-Lemma
144,streu,Lebensraum-Lemma
145,berggipfel,Lebensraum-Lemma
146,waldessaum,Lebensraum-Lemma
147,achill,Lebensraum-Lemma
148,äffch,Lebensraum-Lemma
149,felsenlandschaft,Lebensraum-Lemma
150,seeufer,Lebensraum-Lemma
151,weinberg,Lebensraum-Lemma
152,todeshaine,Lebensraum-Lemma
153,osterie,Lebensraum-Lemma
154,schelde,Lebensraum-Lemma
155,poggio,Lebensraum-Lemma
156,wendelborn,Lebensraum-Lemma
157,teiche,Lebensraum-Lemma
158,grasbank,Lebensraum-Lemma
159,tannengestrüppe,Lebensraum-Lemma
160,gegend,Lebensraum-Lemma
161,seel,Lebensraum-Lemma
162,ufergebüsch,Lebensraum-Lemma
163,baumgruppe,Lebensraum-Lemma
164,schenke,Lebensraum-Lemma
165,hecht,Lebensraum-Lemma
166,ätna,Lebensraum-Lemma
167,höhlengruft,Lebensraum-Lemma
168,waldflötche,Lebensraum-Lemma
169,schlucht,Lebensraum-Lemma
170,schlachtfeldes,Lebensraum-Lemma
171,eberesche,Lebensraum-Lemma
172,felsenabhange,Lebensraum-Lemma
173,baßton,Lebensraum-Lemma
174,zenturjo,Lebensraum-Lemma
175,kornfeld,Lebensraum-Lemma
176,schloßgarten,Lebensraum-Lemma
177,wiesenthal,Lebensraum-Lemma
178,mittelsessel,Lebensraum-Lemma
179,strandgegend,Lebensraum-Lemma
180,platane,Lebensraum-Lemma
181,ebenwald,Lebensraum-Lemma
182,schafott,Lebensraum-Lemma
183,umgebung,Lebensraum-Lemma
184,wasserstein,Lebensraum-Lemma
185,riff,Lebensraum-Lemma
186,landstreicher,Lebensraum-Lemma
